import time: self [us] | cumulative | imported package
import time:      6894 |       7968 |                                         torch.package._package_pickler
import time:       939 |        939 |                                         torch.package._stdlib
import time:       934 |        934 |                                         torch.package.find_file_dependencies
import time:       715 |        715 |                                         torch.package.glob_group
import time:     54517 |      69144 |                                       torch.package.package_exporter
import time:      8907 |      78051 |                                     torch.package.analyze.find_first_use_of_broken_modules
import time:       883 |        883 |                                     torch.package.analyze.trace_dependencies
import time:     11703 |      90635 |                                   torch.package.analyze
import time:       857 |      91492 |                                 torch.package.analyze.is_from_package
import time:       938 |        938 |                                 torch.package.file_structure_representation
import time:       861 |        861 |                                   torch.package._directory_reader
import time:       764 |        764 |                                   torch.package._package_unpickler
import time:     11163 |      12787 |                                 torch.package.package_importer
import time:     17613 |     122829 |                               torch.package
import time:        30 |     122858 |                             torch.package._mangling
import time:       888 |        888 |                             torch._awaits
import time:      1051 |       1051 |                             torch.futures
import time:     14426 |     140353 |                           torch._jit_internal
import time:      2811 |       2811 |                           torch._torch_docs
import time:       770 |        770 |                           torch.nn._reduction
import time:       728 |        728 |                             torch.nn.modules.utils
import time:      5863 |       6591 |                           torch.nn.grad
import time:     63092 |     213614 |                         torch.nn.functional
import time:      1007 |       1007 |                         torch.nn.init
import time:       951 |        951 |                         torch.nn.modules.lazy
import time:      7634 |     223205 |                       torch.nn.modules.linear
import time:      8985 |       8985 |                       torch.nn.modules.activation
import time:      1711 |       1711 |                         torch.nn.modules.container
import time:      8021 |       9732 |                       torch.nn.modules.adaptive
import time:       130 |        130 |                                       _csv
import time:       788 |        918 |                                     csv
import time:       811 |        811 |                                     email
import time:       746 |        746 |                                         quopri
import time:      1027 |       1027 |                                             calendar
import time:      7115 |       8142 |                                           email._parseaddr
import time:       496 |        496 |                                             email.base64mime
import time:       604 |        604 |                                             email.quoprimime
import time:       732 |        732 |                                             email.errors
import time:       476 |        476 |                                             email.encoders
import time:      5865 |       8172 |                                           email.charset
import time:     13185 |      29499 |                                         email.utils
import time:      6052 |       6052 |                                           email.header
import time:      7007 |      13059 |                                         email._policybase
import time:       841 |        841 |                                         email._encoded_words
import time:       534 |        534 |                                         email.iterators
import time:     30072 |      74749 |                                       email.message
import time:       494 |        494 |                                         importlib.metadata._functools
import time:      6141 |       6634 |                                       importlib.metadata._text
import time:      5924 |      87307 |                                     importlib.metadata._adapters
import time:       657 |        657 |                                     importlib.metadata._meta
import time:       723 |        723 |                                     importlib.metadata._collections
